"Products","Status","Type","Sponsored Products eligibility","Sales(EUR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(EUR)","CPC(EUR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(EUR)","% of sales NTB","Viewable impressions"
"B0BRSMB6M9-BMT003","","","Eligible","1719.79","2.80","0.0523","274623","1033","0.0038","614.79","0.60","54","0.3575","0","0.0000","0.00","0.0000","0"
"B01LNOBGRM-3I-GOR9-I5Y7","","","Eligible","494.80","2.88","0.0567","122499","353","0.0029","171.67","0.49","20","0.3469","0","0.0000","0.00","0.0000","0"
"B0CN1J44VC-BM0010","","","Eligible","209.36","1.44","0.0462","23833","173","0.0073","145.61","0.84","8","0.6955","0","0.0000","0.00","0.0000","0"
"B0FGJXKQFB-PP0013","","","Eligible","324.24","2.23","0.0553","27319","235","0.0086","145.43","0.62","13","0.4485","0","0.0000","0.00","0.0000","0"
"B01LYB4PKO-69-YT0R-2WCS","","","Eligible","384.65","3.03","0.0393","85618","280","0.0033","126.92","0.45","11","0.3300","0","0.0000","0.00","0.0000","0"
"B09PNKKS78-PP0001GS","","","Eligible","248.78","2.22","0.0503","18523","199","0.0107","111.91","0.56","10","0.4498","0","0.0000","0.00","0.0000","0"
"B08YJ5Y672-PP0006","","","Eligible","457.85","4.60","0.1019","16893","157","0.0093","99.56","0.63","16","0.2175","0","0.0000","0.00","0.0000","0"
"B0CP2C594Q-BMP0010","","","Eligible","49.66","1.08","0.0202","20642","99","0.0048","46.12","0.47","2","0.9287","0","0.0000","0.00","0.0000","0"
"B08YJR9HDL-PP0005","","","Eligible","115.64","2.65","0.0588","11289","68","0.0060","43.67","0.64","4","0.3776","0","0.0000","0.00","0.0000","0"
"B09QMLXZ27-ARBI01","","","Eligible","202.32","4.67","0.1406","7112","64","0.0090","43.31","0.68","9","0.2141","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-SQ-H3G9-2L92","","","Eligible","136.14","3.62","0.0667","17415","75","0.0043","37.57","0.50","5","0.2760","0","0.0000","0.00","0.0000","0"
"B0F2T8BPK5-PPD005","","","Eligible","200.68","6.20","0.0690","6923","87","0.0126","32.36","0.37","6","0.1613","0","0.0000","0.00","0.0000","0"
"B09FSZYGB4-PP0007","","","Eligible","150.86","5.24","0.1136","7347","44","0.0060","28.80","0.65","5","0.1909","0","0.0000","0.00","0.0000","0"
"B09QMK4HZF-ARM0001","","","Eligible","115.92","4.99","0.1429","2236","35","0.0157","23.22","0.66","5","0.2003","0","0.0000","0.00","0.0000","0"
"B0CN6XQ611-BMP0009","","","Eligible","106.68","4.66","0.0976","8601","41","0.0048","22.87","0.56","4","0.2144","0","0.0000","0.00","0.0000","0"
"B0F2TDHQ83-PPD006","","","Eligible","68.58","3.40","0.0339","5352","59","0.0110","20.18","0.34","2","0.2943","0","0.0000","0.00","0.0000","0"
"B0CP2KD382-BMP0011","","","Eligible","53.40","3.16","0.0952","3361","21","0.0062","16.92","0.81","2","0.3169","0","0.0000","0.00","0.0000","0"
"B0F2T5SPFZ-PPD004","","","Eligible","63.52","4.40","0.0500","2368","40","0.0169","14.45","0.36","2","0.2275","0","0.0000","0.00","0.0000","0"
"B0BTTHD99C-AR0008","","","Eligible","0.00","0.00","0.0000","1251","11","0.0088","7.26","0.66","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YKGCV8F-KB0002","","","Eligible","286.43","43.80","0.3000","330","10","0.0303","6.54","0.65","3","0.0228","0","0.0000","0.00","0.0000","0"
"B0DHH7P6QQ-73-EFLH-T6DR","","","Eligible","0.00","0.00","0.0000","1348","8","0.0059","5.17","0.65","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B1DMS4YK-KB0001","","","Eligible","24.36","7.88","0.2500","377","4","0.0106","3.09","0.77","1","0.1268","0","0.0000","0.00","0.0000","0"
"B09RX2WX88-KB0003","","","Eligible","0.00","0.00","0.0000","479","5","0.0104","2.55","0.51","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BRSR5KJS-BMT002","","","Eligible","0.00","0.00","0.0000","1414","4","0.0028","1.34","0.34","0","0.0000","0","0.0000","0.00","0.0000","0"
"B01M2ZSZNF-KO-AAPH-S3H1","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
