"Products","Status","Type","Sponsored Products eligibility","Sales(EUR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(EUR)","CPC(EUR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(EUR)","% of sales NTB","Viewable impressions"
"B0BRSMB6M9-BMT003","","","Eligible","1945.25","2.72","0.0593","292704","1214","0.0041","715.70","0.59","72","0.3679","0","0.0000","0.00","0.0000","0"
"B0FGJXKQFB-PP0013","","","Eligible","758.03","2.11","0.0523","47452","574","0.0121","358.53","0.62","30","0.4730","0","0.0000","0.00","0.0000","0"
"B01LYB4PKO-69-YT0R-2WCS","","","Eligible","417.42","1.56","0.0311","163398","514","0.0031","267.27","0.52","16","0.6403","0","0.0000","0.00","0.0000","0"
"B0CN1J44VC-BM0010","","","Eligible","458.28","2.47","0.0506","77357","316","0.0041","185.72","0.59","16","0.4053","0","0.0000","0.00","0.0000","0"
"B01LNOBGRM-3I-GOR9-I5Y7","","","Eligible","465.74","2.70","0.0560","115994","339","0.0029","172.63","0.51","19","0.3707","0","0.0000","0.00","0.0000","0"
"B08YJ5Y672-PP0006","","","Eligible","455.84","4.14","0.0813","15715","209","0.0133","110.09","0.53","17","0.2415","0","0.0000","0.00","0.0000","0"
"B08YJR9HDL-PP0005","","","Eligible","159.07","1.71","0.0347","20173","173","0.0086","92.97","0.54","6","0.5845","0","0.0000","0.00","0.0000","0"
"B0CP2C594Q-BMP0010","","","Eligible","351.86","4.46","0.0884","25769","147","0.0057","78.97","0.54","13","0.2244","0","0.0000","0.00","0.0000","0"
"B09FSZYGB4-PP0007","","","Eligible","151.51","2.08","0.0531","12871","113","0.0088","72.93","0.65","6","0.4814","0","0.0000","0.00","0.0000","0"
"B09PNKKS78-PP0001GS","","","Eligible","74.97","1.14","0.0280","12412","107","0.0086","66.02","0.62","3","0.8806","0","0.0000","0.00","0.0000","0"
"B0B6WC5SST-Y4-OT79-ACBA","","","Eligible","120.80","3.07","0.1034","10494","58","0.0055","39.40","0.68","6","0.3262","0","0.0000","0.00","0.0000","0"
"B09QMLXZ27-ARBI01","","","Eligible","188.36","4.79","0.1167","12906","60","0.0046","39.33","0.66","7","0.2088","0","0.0000","0.00","0.0000","0"
"B0CP2KD382-BMP0011","","","Eligible","0.00","0.00","0.0000","10654","49","0.0046","31.86","0.65","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-SQ-H3G9-2L92","","","Eligible","126.21","4.22","0.0847","10858","59","0.0054","29.89","0.51","5","0.2368","0","0.0000","0.00","0.0000","0"
"B0F2TDHQ83-PPD006","","","Eligible","217.16","7.94","0.0761","6097","92","0.0151","27.36","0.30","7","0.1260","0","0.0000","0.00","0.0000","0"
"B0F2T8BPK5-PPD005","","","Eligible","119.68","4.88","0.0494","7606","81","0.0106","24.52","0.30","4","0.2049","0","0.0000","0.00","0.0000","0"
"B0CN6XQ611-BMP0009","","","Eligible","127.93","6.35","0.1613","10645","31","0.0029","20.14","0.65","5","0.1574","0","0.0000","0.00","0.0000","0"
"B0F2T5SPFZ-PPD004","","","Eligible","28.07","2.37","0.0244","2866","41","0.0143","11.85","0.29","1","0.4222","0","0.0000","0.00","0.0000","0"
"B08YJLRHKX-PP0004","","","Eligible","0.00","0.00","0.0000","4058","13","0.0032","8.10","0.62","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B1DMS4YK-KB0001","","","Eligible","0.00","0.00","0.0000","350","8","0.0229","6.27","0.78","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YKGCV8F-KB0002","","","Eligible","0.00","0.00","0.0000","570","8","0.0140","5.25","0.66","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09RX2WX88-KB0003","","","Eligible","0.00","0.00","0.0000","575","3","0.0052","2.16","0.72","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0DHH7P6QQ-73-EFLH-T6DR","","","Eligible","28.07","13.76","0.3333","283","3","0.0106","2.04","0.68","1","0.0727","0","0.0000","0.00","0.0000","0"
"B01M2ZSZNF-KO-AAPH-S3H1","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B06X9LNZPJ-OO-A269-AGEC","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
