"Products","Status","Type","Sponsored Products eligibility","Sales(EUR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(EUR)","CPC(EUR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(EUR)","% of sales NTB","Viewable impressions"
"B01LNOBGRM-3I-GOR9-I5Y7","","","","672.19","2.09","0.0384","168459","704","0.0042","321.66","0.46","27","0.4785","0","0.0000","0.00","0.0000","0"
"B0FGJXKQFB-PP0013","","","","147.17","1.25","0.0222","44935","270","0.0060","117.32","0.43","6","0.7972","0","0.0000","0.00","0.0000","0"
"B08YJR9HDL-PP0005","","","","260.48","3.08","0.0356","57550","253","0.0044","84.55","0.33","9","0.3246","0","0.0000","0.00","0.0000","0"
"B0CN6XQ611-BMP0009","","","","269.42","4.55","0.0769","33000","130","0.0039","59.27","0.46","10","0.2200","0","0.0000","0.00","0.0000","0"
"B09PNKKS78-PP0001GS","","","","73.95","1.25","0.0263","16157","114","0.0071","59.14","0.52","3","0.7997","0","0.0000","0.00","0.0000","0"
"B08YJLRHKX-PP0004","","","","99.15","1.71","0.0301","21835","133","0.0061","57.90","0.44","4","0.5840","0","0.0000","0.00","0.0000","0"
"B0BRSMB6M9-BMT003","","","","273.91","5.22","0.0637","35544","157","0.0044","52.46","0.33","10","0.1915","0","0.0000","0.00","0.0000","0"
"B08YJ5Y672-PP0006","","","","142.14","2.82","0.0352","24890","142","0.0057","50.38","0.35","5","0.3544","0","0.0000","0.00","0.0000","0"
"B0CN1J44VC-BM0010","","","","82.15","1.88","0.0283","24599","106","0.0043","43.75","0.41","3","0.5326","0","0.0000","0.00","0.0000","0"
"B0CP2C594Q-BMP0010","","","","52.56","1.50","0.0294","25099","68","0.0027","35.03","0.52","2","0.6665","0","0.0000","0.00","0.0000","0"
"B0F2T5SPFZ-PPD004","","","","178.66","5.20","0.0465","16376","129","0.0079","34.33","0.27","6","0.1922","0","0.0000","0.00","0.0000","0"
"B01LYB4PKO-69-YT0R-2WCS","","","","142.80","7.14","0.0896","13340","67","0.0050","19.99","0.30","6","0.1400","0","0.0000","0.00","0.0000","0"
