"Products","Status","Type","Sponsored Products eligibility","Sales(EUR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(EUR)","CPC(EUR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(EUR)","% of sales NTB","Viewable impressions"
"B08YJLRHKX-PP0004","","","Eligible","1407.39","2.28","0.0414","104100","1329","0.0128","616.38","0.46","55","0.4380","0","0.0000","0.00","0.0000","0"
"B08YJ5Y672-PP0006","","","Eligible","554.26","2.58","0.0366","46895","546","0.0116","215.20","0.39","20","0.3883","0","0.0000","0.00","0.0000","0"
"B0FGJXKQFB-PP0013","","","Eligible","485.62","2.45","0.0368","54698","462","0.0084","198.38","0.43","17","0.4085","0","0.0000","0.00","0.0000","0"
"B01LNOBGRM-3I-GOR9-I5Y7","","","Eligible","346.43","2.37","0.0495","68920","283","0.0041","146.16","0.52","14","0.4219","0","0.0000","0.00","0.0000","0"
"B09FSZYGB4-PP0007","","","Eligible","333.31","2.31","0.0359","25674","334","0.0130","144.04","0.43","12","0.4322","0","0.0000","0.00","0.0000","0"
"B0BRSMB6M9-BMT003","","","Eligible","544.60","4.31","0.0563","48743","355","0.0073","126.26","0.36","20","0.2318","0","0.0000","0.00","0.0000","0"
"B08YJR9HDL-PP0005","","","Eligible","520.04","4.60","0.0574","51036","331","0.0065","113.09","0.34","19","0.2175","0","0.0000","0.00","0.0000","0"
"B09PNKKS78-PP0001GS","","","Eligible","129.02","1.24","0.0216","38135","232","0.0061","103.69","0.45","5","0.8037","0","0.0000","0.00","0.0000","0"
"B0CN6XQ611-BMP0009","","","Eligible","292.39","2.95","0.0591","54023","186","0.0034","99.15","0.53","11","0.3391","0","0.0000","0.00","0.0000","0"
"B0F2TDHQ83-PPD006","","","Eligible","256.14","2.80","0.0375","33152","240","0.0072","91.49","0.38","9","0.3572","0","0.0000","0.00","0.0000","0"
"B0CN1J44VC-BM0010","","","Eligible","321.16","3.84","0.0592","34235","169","0.0049","83.68","0.50","10","0.2606","0","0.0000","0.00","0.0000","0"
"B0CP2C594Q-BMP0010","","","Eligible","214.39","4.23","0.0777","32488","103","0.0032","50.68","0.49","8","0.2364","0","0.0000","0.00","0.0000","0"
"B0DQQCZGLP-PPD007","","","Eligible","93.00","2.22","0.0229","13851","131","0.0095","41.94","0.32","3","0.4510","0","0.0000","0.00","0.0000","0"
"B0CP2KD382-BMP0011","","","Eligible","27.11","0.66","0.0101","16339","99","0.0061","41.30","0.42","1","1.5234","0","0.0000","0.00","0.0000","0"
"B01LYB4PKO-69-YT0R-2WCS","","","Eligible","98.53","3.78","0.0488","11237","82","0.0073","26.06","0.32","4","0.2645","0","0.0000","0.00","0.0000","0"
"B08YKGCV8F-KB0002","","","Eligible","23.80","1.43","0.0161","7405","62","0.0084","16.64","0.27","1","0.6992","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-SQ-H3G9-2L92","","","Eligible","0.00","0.00","0.0000","6011","41","0.0068","16.15","0.39","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0F2T8BPK5-PPD005","","","Eligible","57.27","4.08","0.0417","4257","48","0.0113","14.03","0.29","2","0.2450","0","0.0000","0.00","0.0000","0"
"B0F2T5SPFZ-PPD004","","","Eligible","158.43","11.34","0.0893","5756","56","0.0097","13.97","0.25","5","0.0882","0","0.0000","0.00","0.0000","0"
"B0B1DMS4YK-KB0001","","","Eligible","60.50","4.79","0.0667","5270","45","0.0085","12.62","0.28","3","0.2086","0","0.0000","0.00","0.0000","0"
"B09RX2WX88-KB0003","","","Eligible","85.68","6.95","0.0426","4776","47","0.0098","12.33","0.26","2","0.1439","0","0.0000","0.00","0.0000","0"
"B0B6WC5SST-Y4-OT79-ACBA","","","Eligible","77.36","14.93","0.2353","2225","17","0.0076","5.18","0.30","4","0.0670","0","0.0000","0.00","0.0000","0"
"B09J8W13DK-UG-Y4LX-G244","","","Eligible","271.67","63.47","0.5333","1105","15","0.0136","4.28","0.29","8","0.0158","0","0.0000","0.00","0.0000","0"
"B0BTTHD99C-AR0008","","","Eligible","0.00","0.00","0.0000","1089","16","0.0147","3.19","0.20","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09QMLXZ27-ARBI01","","","Eligible","173.75","61.40","0.3000","2183","10","0.0046","2.83","0.28","3","0.0163","0","0.0000","0.00","0.0000","0"
"B01NBW2WAA-2G-3CBF-UEZ5","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B06XSF47K5-PG-ISD6-CPKU","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B071ZHJGBL-WY-H71J-DMNV","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0757NJTV9-4A-L01Y-AUK0","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C75Q4P9-N7-2TAF-B76G","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D2C5Q1D-KP-7WQ5-GHGK","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D2C92VY-HU-6ERB-TMBL","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D2C92VY-KU0001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D7BZH22-22-4LV3-F186","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07DCRL9QW-V7-7DHL-RBZ6","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07DXJ4K94-15-66S3-5SHP","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07F82C8QB-N9-1LLB-MGPK","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
