"Products","Status","Type","Sponsored Products eligibility","Sales(EUR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(EUR)","CPC(EUR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(EUR)","% of sales NTB","Viewable impressions"
"B08YJ5Y672-PP0006","","","Eligible","683.54","2.31","0.0442","56678","520","0.0092","295.68","0.57","23","0.4326","0","0.0000","0.00","0.0000","0"
"B0CN1J44VC-BM0010","","","Eligible","1009.40","3.89","0.0691","105781","492","0.0047","259.22","0.53","34","0.2568","0","0.0000","0.00","0.0000","0"
"B08YJR9HDL-PP0005","","","Eligible","364.68","1.98","0.0297","97592","404","0.0041","184.20","0.46","12","0.5051","0","0.0000","0.00","0.0000","0"
"B09PNKKS78-PP0001GS","","","Eligible","401.37","2.22","0.0320","41128","469","0.0114","180.67","0.39","15","0.4501","0","0.0000","0.00","0.0000","0"
"B01LYB4PKO-69-YT0R-2WCS","","","Eligible","374.95","2.63","0.0496","60838","282","0.0046","142.32","0.50","14","0.3796","0","0.0000","0.00","0.0000","0"
"B01LNOBGRM-3I-GOR9-I5Y7","","","Eligible","486.77","4.06","0.0718","34047","195","0.0057","119.79","0.61","14","0.2461","0","0.0000","0.00","0.0000","0"
"B0FGJXKQFB-PP0013","","","Eligible","232.27","2.94","0.0377","30081","239","0.0079","79.00","0.33","9","0.3401","0","0.0000","0.00","0.0000","0"
"B08YJLRHKX-PP0004","","","Eligible","183.96","3.17","0.0440","23747","159","0.0067","58.04","0.37","7","0.3155","0","0.0000","0.00","0.0000","0"
"B0BRSMB6M9-BMT003","","","Eligible","327.80","8.16","0.0938","14109","96","0.0068","40.16","0.42","9","0.1225","0","0.0000","0.00","0.0000","0"
"B0CN6XQ611-BMP0009","","","Eligible","81.99","2.08","0.0566","16415","53","0.0032","39.33","0.74","3","0.4797","0","0.0000","0.00","0.0000","0"
"B0CP2C594Q-BMP0010","","","Eligible","54.66","1.65","0.0357","18943","56","0.0030","33.13","0.59","2","0.6061","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-SQ-H3G9-2L92","","","Eligible","87.58","2.80","0.0588","23044","51","0.0022","31.31","0.61","3","0.3575","0","0.0000","0.00","0.0000","0"
"B09FSZYGB4-PP0007","","","Eligible","0.00","0.00","0.0000","11450","52","0.0045","26.55","0.51","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09J8W13DK-UG-Y4LX-G244","","","Eligible","169.52","9.01","0.0986","11894","71","0.0060","18.81","0.26","7","0.1110","0","0.0000","0.00","0.0000","0"
"B0BTTHD99C-AR0008","","","Eligible","0.00","0.00","0.0000","8738","58","0.0066","18.02","0.31","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B1DMS4YK-KB0001","","","Eligible","25.21","2.81","0.0213","4870","47","0.0097","8.96","0.19","1","0.3554","0","0.0000","0.00","0.0000","0"
"B0F2T8BPK5-PPD005","","","Eligible","0.00","0.00","0.0000","1771","20","0.0113","7.78","0.39","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0CP2KD382-BMP0011","","","Eligible","0.00","0.00","0.0000","3511","15","0.0043","7.58","0.51","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C779YC5-S9-ZHU4-EDM5","","","Eligible","0.00","0.00","0.0000","2261","12","0.0053","5.53","0.46","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0F2TDHQ83-PPD006","","","Eligible","0.00","0.00","0.0000","1184","14","0.0118","5.52","0.39","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YKGCV8F-KB0002","","","Eligible","0.00","0.00","0.0000","2417","19","0.0079","4.79","0.25","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0F2T5SPFZ-PPD004","","","Eligible","0.00","0.00","0.0000","1667","11","0.0066","3.70","0.34","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09RX2WX88-KB0003","","","Eligible","50.42","14.70","0.1538","1089","13","0.0119","3.43","0.26","2","0.0680","0","0.0000","0.00","0.0000","0"
"B0881MZGCF-CJ-HT4E-OKZV","","","Eligible","0.00","0.00","0.0000","3696","13","0.0035","2.28","0.18","0","0.0000","0","0.0000","0.00","0.0000","0"
"B01NBW2WAA-2G-3CBF-UEZ5","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B06XSF47K5-PG-ISD6-CPKU","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B071ZHJGBL-WY-H71J-DMNV","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B072ZX9DFB-4T-FBIB-83EX","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0757NJTV9-4A-L01Y-AUK0","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0757YSF1L-5Q-JVTV-D6V8","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C75Q4P9-N7-2TAF-B76G","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D2C5Q1D-KP-7WQ5-GHGK","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D2C92VY-HU-6ERB-TMBL","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D2C92VY-KU0001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D7BZH22-22-4LV3-F186","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07DCRL9QW-V7-7DHL-RBZ6","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07DXJ4K94-15-66S3-5SHP","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07F82C8QB-N9-1LLB-MGPK","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07GXS4VPY-RE-WXY8-NOO1","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07J2Q8L2F-KH-D5VA-TTBF","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07J2Q8L2F-PH30010","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07J2Q8L2F-PH30011","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K7R968G-3F-G54U-4R4Q","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07KR6DNVN-LS-OMRV-CG16","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07KT4119W-DP-AIZC-N1NO","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07PLKYVM5-7M-DP49-M3E1","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07PM491QM-6E-12F4-CAWG","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07QS323RP-5L-OS15-NL0S","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTY7XX6-GM-K3MB-J6RR","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07SRZ6P32-CG-G8NN-TPZN","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-14-0XE4-GZ9F","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07XC1BT6Z-OR-9X9F-DHJQ","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07XC1CHN9-VI-5L6M-IAN2","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07ZQKPHDR-YU-UYWR-IKU7","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B081Z8MLGV-VX-BYO4-Q9XE","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08252QCC4-2G-YQXC-7J45","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B083P63BM7-BY-IG9I-M2H6","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B083RBKHC6-WN-XCCZ-MSJL","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0842M4Y73-09-TX8N-URPM","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0848RVHV1-KV-6279-B4ME","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084CSQV2F-JO-8B8B-1XW5","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084G88WDC-FW-DHFX-U2R4","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084GWX3BY-T4-1S57-3GAM","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084KJ9B4K-TP-T7KV-QKE5","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084T58CN7-NF-8PIW-GK9N","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084ZP6NBK-BO-2T65-BGLG","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084ZPX8SR-YX-STH3-2SOZ","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084ZQ7F4X-LZ-EWM6-G6GA","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08KRLNH8F-YE-SZMI-UGS3","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08T9K6Z5K-Z3-45IW-XP7B","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08WRMXRJ9-PS00003","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08WRMXRJ9-PS0003","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YJ5Y672-P0006","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YJLRHKX","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YK33DNC-PF0001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YMTSV1B-5U-TQ2K-8W55","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YMTSV1B-KU0002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0957XTMYN-KU0003","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0965WCFKZ-AR0002","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B098F22HGN-PS0005","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B098M1QCWQ-PW0001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09GKMY46R-PW0002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09GSDD88W-SS-QS7L-38ZT","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09LMCMNGT-PS3003","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09MJDT8PK-HU-FMKS-9LXL","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09QMGR2Y1-MA-BBGN-0JSB","","","Ineligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09QMK4HZF-ARM001","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09QMLXZ27-ARBI01","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09Y8SJ3NP-PBH001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09Y8V6TFB-PPH001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09ZF7JMKD-PWW002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09ZF8G888-PWW001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B13MLSVM-CZ-3BKC-TNPG","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
