"Products","Status","Type","Sponsored Products eligibility","Sales(EUR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(EUR)","CPC(EUR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(EUR)","% of sales NTB","Viewable impressions"
"B08YJR9HDL-PP0005","","","Eligible","1221.20","2.61","0.0464","166214","949","0.0057","467.07","0.49","44","0.3825","0","0.0000","0.00","0.0000","0"
"B08YJ5Y672-PP0006","","","Eligible","1296.58","2.79","0.0494","106463","911","0.0086","463.95","0.51","45","0.3578","0","0.0000","0.00","0.0000","0"
"B0CN1J44VC-BM0010","","","Eligible","533.11","2.78","0.0554","72562","325","0.0045","191.91","0.59","18","0.3600","0","0.0000","0.00","0.0000","0"
"B09FSZYGB4-PP0007","","","Eligible","262.07","1.75","0.0342","42479","292","0.0069","149.64","0.51","10","0.5710","0","0.0000","0.00","0.0000","0"
"B01LYB4PKO-69-YT0R-2WCS","","","Eligible","226.81","2.45","0.0368","46477","190","0.0041","92.68","0.49","7","0.4086","0","0.0000","0.00","0.0000","0"
"B09PNKKS78-PP0001GS","","","Eligible","103.97","1.20","0.0176","31669","227","0.0072","87.00","0.38","4","0.8368","0","0.0000","0.00","0.0000","0"
"B01LNOBGRM-3I-GOR9-I5Y7","","","Eligible","475.11","5.84","0.1057","23653","123","0.0052","81.31","0.66","13","0.1711","0","0.0000","0.00","0.0000","0"
"B0FGJXKQFB-PP0013","","","Eligible","52.74","0.74","0.0099","30340","203","0.0067","71.60","0.35","2","1.3576","0","0.0000","0.00","0.0000","0"
"B0CN6XQ611-BMP0009","","","Eligible","164.82","2.31","0.0279","38591","179","0.0046","71.20","0.40","5","0.4320","0","0.0000","0.00","0.0000","2196"
"B0BTTHD99C-AR0008","","","Eligible","184.65","2.87","0.0297","38229","202","0.0053","64.40","0.32","6","0.3488","0","0.0000","0.00","0.0000","0"
"B08YJLRHKX-PP0004","","","Eligible","231.54","3.85","0.0608","27737","148","0.0053","60.19","0.41","9","0.2600","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-SQ-H3G9-2L92","","","Eligible","227.69","8.23","0.1633","10920","49","0.0045","27.68","0.56","8","0.1216","0","0.0000","0.00","0.0000","0"
"B0CP2C594Q-BMP0010","","","Eligible","27.33","1.15","0.0213","12947","47","0.0036","23.75","0.51","1","0.8690","0","0.0000","0.00","0.0000","0"
"B08YKGCV8F-KB0002","","","Eligible","50.42","2.63","0.0500","3091","40","0.0129","19.20","0.48","2","0.3808","0","0.0000","0.00","0.0000","0"
"B0BRSMB6M9-BMT003","","","Eligible","83.26","4.58","0.0652","10301","46","0.0045","18.16","0.39","3","0.2181","0","0.0000","0.00","0.0000","0"
"B09J8W13DK-UG-Y4LX-G244","","","Eligible","165.36","11.75","0.1034","8915","58","0.0065","14.07","0.24","6","0.0851","0","0.0000","0.00","0.0000","0"
"B0F2TDHQ83-PPD006","","","Eligible","0.00","0.00","0.0000","2232","31","0.0139","11.86","0.38","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C779YC5-S9-ZHU4-EDM5","","","Eligible","0.00","0.00","0.0000","4552","23","0.0051","10.81","0.47","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084G88WDC-FW-DHFX-U2R4","","","Eligible","0.00","0.00","0.0000","3522","21","0.0060","8.10","0.39","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0881MZGCF-CJ-HT4E-OKZV","","","Eligible","59.66","9.21","0.0625","11841","16","0.0014","6.48","0.41","1","0.1086","0","0.0000","0.00","0.0000","0"
"B0CP2KD382-BMP0011","","","Eligible","113.50","34.39","0.5714","2532","7","0.0028","3.30","0.47","4","0.0291","0","0.0000","0.00","0.0000","0"
"B0B1DMS4YK-KB0001","","","Eligible","0.00","0.00","0.0000","1623","13","0.0080","2.50","0.19","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0F2T5SPFZ-PPD004","","","Eligible","0.00","0.00","0.0000","193","3","0.0155","1.74","0.58","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09RX2WX88-KB0003","","","Eligible","0.00","0.00","0.0000","326","5","0.0153","1.42","0.28","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0F2T8BPK5-PPD005","","","Eligible","0.00","0.00","0.0000","361","2","0.0055","0.59","0.29","0","0.0000","0","0.0000","0.00","0.0000","0"
"B01NBW2WAA-2G-3CBF-UEZ5","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B06XSF47K5-PG-ISD6-CPKU","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B071ZHJGBL-WY-H71J-DMNV","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B072ZX9DFB-4T-FBIB-83EX","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0757NJTV9-4A-L01Y-AUK0","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0757YSF1L-5Q-JVTV-D6V8","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07C75Q4P9-N7-2TAF-B76G","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D2C5Q1D-KP-7WQ5-GHGK","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D2C92VY-HU-6ERB-TMBL","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D2C92VY-KU0001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07D7BZH22-22-4LV3-F186","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07DCRL9QW-V7-7DHL-RBZ6","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07DXJ4K94-15-66S3-5SHP","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07F82C8QB-N9-1LLB-MGPK","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07GXS4VPY-RE-WXY8-NOO1","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07J2Q8L2F-KH-D5VA-TTBF","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07J2Q8L2F-PH30010","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07J2Q8L2F-PH30011","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07K7R968G-3F-G54U-4R4Q","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07KR6DNVN-LS-OMRV-CG16","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07KT4119W-DP-AIZC-N1NO","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07PLKYVM5-7M-DP49-M3E1","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07PM491QM-6E-12F4-CAWG","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07QS323RP-5L-OS15-NL0S","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07RTY7XX6-GM-K3MB-J6RR","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07SRZ6P32-CG-G8NN-TPZN","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-14-0XE4-GZ9F","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07XC1BT6Z-OR-9X9F-DHJQ","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07XC1CHN9-VI-5L6M-IAN2","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07ZQKPHDR-YU-UYWR-IKU7","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B081Z8MLGV-VX-BYO4-Q9XE","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08252QCC4-2G-YQXC-7J45","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B083P63BM7-BY-IG9I-M2H6","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B083RBKHC6-WN-XCCZ-MSJL","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0842M4Y73-09-TX8N-URPM","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0848RVHV1-KV-6279-B4ME","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084CSQV2F-JO-8B8B-1XW5","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084GWX3BY-T4-1S57-3GAM","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084KJ9B4K-TP-T7KV-QKE5","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084T58CN7-NF-8PIW-GK9N","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084ZP6NBK-BO-2T65-BGLG","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084ZPX8SR-YX-STH3-2SOZ","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084ZQ7F4X-LZ-EWM6-G6GA","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08KRLNH8F-YE-SZMI-UGS3","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08T9K6Z5K-Z3-45IW-XP7B","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08WRMXRJ9-PS00003","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08WRMXRJ9-PS0003","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YJ5Y672-P0006","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YJLRHKX","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YK33DNC-PF0001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YMTSV1B-5U-TQ2K-8W55","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YMTSV1B-KU0002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0957XTMYN-KU0003","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0965WCFKZ-AR0002","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B098F22HGN-PS0005","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B098M1QCWQ-PW0001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09GKMY46R-PW0002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09GSDD88W-SS-QS7L-38ZT","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09LMCMNGT-PS3003","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09MJDT8PK-HU-FMKS-9LXL","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09QMGR2Y1-MA-BBGN-0JSB","","","Ineligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09QMK4HZF-ARM001","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09QMLXZ27-ARBI01","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09Y8SJ3NP-PBH001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09Y8V6TFB-PPH001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09ZF7JMKD-PWW002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09ZF8G888-PWW001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B13MLSVM-CZ-3BKC-TNPG","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B4PCMMWQ-PP0003","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B5Y2V2QG-O0-D4P7-C01W","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B5Y2V2QG-PH3001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B5Y2XHR9-PB2002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B6W6LT6X-OV-V1KU-396A","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B6WC5SST-Y4-OT79-ACBA","","","Ineligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B6WGGL5X-ARF001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0B74JCKPR-PWS001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BD581MXN-PS0001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BD5STD28-PH3002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BD5X7LS8-PH2001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BJL7WFLJ-PH2002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BNLZ2CRD-PPA001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BQCSFHQH-KB0004","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BRSR5KJS-BMT002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BTTF4XL9-F7-C75H-EZHE","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BW448T2Q-PCH0002","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BW47QTY2-PCH0001","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BX19VTFZ-3D-74P9-9TAN","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BX49G83Q-AG0005","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BX49HKC2-PPMG03","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BYFF7Q8V-JD-AOU1-THBW","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BYFLLRY5-69-081R-09PA","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
