"Products","Status","Type","Sponsored Products eligibility","Sales(EUR)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(EUR)","CPC(EUR)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(EUR)","% of sales NTB","Viewable impressions"
"B08YJR9HDL-PP0005","","","Eligible","722.39","3.40","0.0322","165894","745","0.0045","212.31","0.28","24","0.2939","0","0.0000","0.00","0.0000","0"
"B0CN1J44VC-BM0010","","","Eligible","204.56","1.24","0.0158","72195","444","0.0062","165.35","0.37","7","0.8083","0","0.0000","0.00","0.0000","0"
"B09FSZYGB4-PP0007","","","Eligible","257.16","2.88","0.0296","68054","304","0.0045","89.29","0.29","9","0.3472","0","0.0000","0.00","0.0000","0"
"B01LNOBGRM-3I-GOR9-I5Y7","","","Eligible","299.72","4.03","0.0495","40541","222","0.0055","74.37","0.34","11","0.2481","0","0.0000","0.00","0.0000","0"
"B0CN6XQ611-BMP0009","","","Eligible","148.34","2.20","0.0284","40646","176","0.0043","67.29","0.38","5","0.4536","0","0.0000","0.00","0.0000","0"
"B08YJ5Y672-PP0006","","","Eligible","257.51","3.87","0.0370","39536","243","0.0061","66.60","0.27","9","0.2586","0","0.0000","0.00","0.0000","0"
"B08YJLRHKX-PP0004","","","Eligible","262.49","5.13","0.0730","13104","137","0.0105","51.17","0.37","10","0.1949","0","0.0000","0.00","0.0000","0"
"B0F2TDHQ83-PPD006","","","Eligible","26.07","0.57","0.0093","20609","107","0.0052","45.42","0.42","1","1.7422","0","0.0000","0.00","0.0000","0"
"B0BRSMB6M9-BMT003","","","Eligible","231.45","5.54","0.0708","19204","113","0.0059","41.80","0.37","8","0.1806","0","0.0000","0.00","0.0000","0"
"B01LYB4PKO-69-YT0R-2WCS","","","Eligible","280.17","7.05","0.0692","33011","130","0.0039","39.72","0.31","9","0.1418","0","0.0000","0.00","0.0000","0"
"B0F2T8BPK5-PPD005","","","Eligible","94.59","2.90","0.0330","19028","91","0.0048","32.61","0.36","3","0.3448","0","0.0000","0.00","0.0000","0"
"B0FGJXKQFB-PP0013","","","Eligible","60.33","1.98","0.0267","14132","75","0.0053","30.50","0.41","2","0.5056","0","0.0000","0.00","0.0000","0"
"B09PNKKS78-PP0001GS","","","Eligible","24.43","1.20","0.0152","8304","66","0.0079","20.29","0.31","1","0.8305","0","0.0000","0.00","0.0000","0"
"B0F2T5SPFZ-PPD004","","","Eligible","101.14","5.17","0.0588","8555","51","0.0060","19.57","0.38","3","0.1935","0","0.0000","0.00","0.0000","0"
"B0CP2C594Q-BMP0010","","","Eligible","0.00","0.00","0.0000","12887","41","0.0032","17.15","0.42","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0BTTHD99C-AR0008","","","Eligible","20.33","1.29","0.0083","20091","120","0.0060","15.80","0.13","1","0.7772","0","0.0000","0.00","0.0000","0"
"B0B1DMS4YK-KB0001","","","Eligible","55.72","5.02","0.0417","3405","48","0.0141","11.11","0.23","2","0.1994","0","0.0000","0.00","0.0000","0"
"B09J8W13DK-UG-Y4LX-G244","","","Eligible","83.78","8.00","0.0353","19641","85","0.0043","10.47","0.12","3","0.1250","0","0.0000","0.00","0.0000","0"
"B08YKGCV8F-KB0002","","","Eligible","53.26","6.21","0.0571","5219","35","0.0067","8.58","0.25","2","0.1611","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-SQ-H3G9-2L92","","","Eligible","26.07","5.49","0.0526","3239","19","0.0059","4.75","0.25","1","0.1822","0","0.0000","0.00","0.0000","0"
"B09RX2WX88-KB0003","","","Eligible","24.58","5.29","0.0526","1996","19","0.0095","4.65","0.24","1","0.1892","0","0.0000","0.00","0.0000","0"
"B0DHH7P6QQ-73-EFLH-T6DR","","","Eligible","0.00","0.00","0.0000","6339","22","0.0035","4.11","0.19","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0CN1H8G38-BMP0012","","","Eligible","0.00","0.00","0.0000","2122","8","0.0038","2.35","0.29","0","0.0000","0","0.0000","0.00","0.0000","0"
"B06X9LNZPJ-OO-A269-AGEC","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
