"Products","Status","Type","Sponsored Products eligibility","Sales(PLN)","ROAS","Conversion rate","Impressions","Clicks","CTR","Spend(PLN)","CPC(PLN)","Orders","ACOS","NTB orders","% of orders NTB","NTB sales(PLN)","% of sales NTB","Viewable impressions"
"B01LNOBGRM-3I-GOR9-I5Y7","","","Eligible","92.68","2.56","0.0345","5374","29","0.0054","36.22","1.25","1","0.3908","0","0.0000","0.00","0.0000","0"
"B0CN1J44VC-BM0010","","","Eligible","0.00","0.00","0.0000","5143","14","0.0027","10.42","0.74","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0FGJXKQFB-PP0013","","","Eligible","0.00","0.00","0.0000","1663","18","0.0108","7.50","0.42","0","0.0000","0","0.0000","0.00","0.0000","0"
"B01LYB4PKO-69-YT0R-2WCS","","","Eligible","0.00","0.00","0.0000","2292","5","0.0022","3.09","0.62","0","0.0000","0","0.0000","0.00","0.0000","0"
"B09PNKKS78-PP0001GS","","","Eligible","117.88","41.22","0.2000","293","5","0.0171","2.86","0.57","1","0.0243","0","0.0000","0.00","0.0000","0"
"B09FSZYGB4-PP0007","","","Eligible","0.00","0.00","0.0000","741","4","0.0054","2.20","0.55","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0CN6XQ611-BMP0009","","","Eligible","0.00","0.00","0.0000","1813","4","0.0022","2.01","0.50","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0CP2C594Q-BMP0010","","","Eligible","0.00","0.00","0.0000","1696","3","0.0018","1.31","0.44","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YJLRHKX-PP0004","","","Eligible","0.00","0.00","0.0000","1059","2","0.0019","1.02","0.51","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YJR9HDL-PP0005","","","Eligible","0.00","0.00","0.0000","477","1","0.0021","0.77","0.77","0","0.0000","0","0.0000","0.00","0.0000","0"
"B08YKGCV8F-KB0002","","","Eligible","246.33","351.90","0.4000","294","5","0.0170","0.70","0.14","2","0.0028","0","0.0000","0.00","0.0000","0"
"B08YJ5Y672-PP0006","","","Eligible","117.88","222.42","1.0000","332","1","0.0030","0.53","0.53","1","0.0045","0","0.0000","0.00","0.0000","0"
"B07QS323RP-5L-OS15-NL0S","","","Eligible","0.00","0.00","0.0000","94","1","0.0106","0.18","0.18","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07J2Q8L2F-KH-D5VA-TTBF","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07KT4119W-DP-AIZC-N1NO","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07PLKYVM5-7M-DP49-M3E1","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07SRZ6P32-CG-G8NN-TPZN","","","No data available","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07VC6GXYT-SQ-H3G9-2L92","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07XC1BT6Z-OR-9X9F-DHJQ","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B07XC1CHN9-VI-5L6M-IAN2","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B081Z8MLGV-VX-BYO4-Q9XE","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B083RBKHC6-WN-XCCZ-MSJL","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B0842M4Y73-09-TX8N-URPM","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084CSQV2F-JO-8B8B-1XW5","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
"B084G88WDC-FW-DHFX-U2R4","","","Eligible","0.00","0.00","0.0000","0","0","0.0000","0.00","0.00","0","0.0000","0","0.0000","0.00","0.0000","0"
