"Marketplace / Product";"ASIN";"SKU";"Units";"Refunds";"Sales";"Promo";"Ads";"Sponsored products (PPC)";"Sponsored Display";"Sponsored brands (HSA)";"Sponsored Brands Video";"Google ads";"Facebook ads";"% Refunds";"Sellable Quota";"Refund сost";"Amazon fees";"Cost of Goods";"VAT";"Shipping";"Gross profit";"Net profit";"Estimated payout";"Expenses";"Margin";"ROI";"BSR";"Real ACOS";"Sessions";"Unit Session Percentage";"Average Sales Price"
"Amazon.it";"";"";"522";"20";"17 452,13";"";"-2 619,21";"-2 619,21";"";"";"";"";"";"3,83";"38,89";"-487,45";"-6 604,6";"-3 414,1";"-2 939,59";"-129,26";"1 198,68";"1 049,82";"7 481,4";"-148,86";"6,02";"30,75";"166 612";"15,01";"12 783";"4,08";"33,43"
"Northstar Docking Station in Legno Massello di Frassino, Organizer da Comodino per Smartphone, Orologio, Portafoglio | Idea Regalo Uomo/Donna per Natale, Marito, Moglie, Papà (Nero) COG: 6,12 / Price: 34,8";"B09FSZYGB4";"PP0007";"98";"5";"3 168,24";"";"-723,65";"-723,65";"";"";"";"";"";"5,10";"33,33";"-116,36";"-1 263,99";"-599,76";"-540,17";"-31,30";"-124,24";"-124,24";"997,33";"";"-3,92";"-20,71";"2 470";"22,84";"2 638";"3,71";"32,33"
"Northstar Docking Station in Legno Massello di Frassino, Organizer da Comodino per Smartphone, Orologio, Portafoglio | Idea Regalo Uomo/Donna per Natale, Marito, Moglie, Papà (Marrone) COG: 6,12 / Price: 38,8";"B08YJR9HDL";"PP0005";"93";"";"3 374,92";"";"-831,32";"-831,32";"";"";"";"";"";"";"-";"";"-1 051,49";"-569,16";"-595,86";"-24,25";"290,55";"290,55";"1 455,57";"";"8,61";"51,05";"2 470";"24,63";"3 334";"2,79";"36,29"
"Northstar Docking station per cellulare in legno, organizer da comodino, organizer da scrivania per marito, regalo di compleanno per uomini o papà, idea per anniversario, portachiavi, supporto per COG: 5,5 / Price: 34,8";"B0DHH7P6QQ";"73-EFLH-T6DR";"34";"";"1 135,36";"";"-5,47";"-5,47";"";"";"";"";"";"";"-";"";"-364,43";"-187";"-199,05";"-8,28";"366,19";"366,19";"752,24";"";"32,25";"195,82";"2 470";"0,48";"458";"7,42";"33,39"
"Northstar - Docking station per telefono in legno per uomo, organizer da scrivania o da comodino, regalo di compleanno per uomini, papà, idea di anniversario della moglie - portachiavi, supporto COG: 6,12 / Price: 31,8";"B0FGJXKQFB";"PP0013";"34";"1";"1 096,54";"";"-105,27";"-105,27";"";"";"";"";"";"2,94";"";"-27,01";"-430,66";"-208,08";"-189,07";"-10,66";"123,32";"123,32";"520,47";"";"11,25";"59,27";"22 800";"9,60";"694";"4,90";"32,25"
"Boccale da birra vichingo da uomo 0,6 litri realizzato a mano in legno di quercia in acciaio inox design autentico regalo san valentino per lui e lei regalo di compleanno regalo per la festa del papà COG: 7,44 / Price: 37,8";"B0BRSMB6M9";"BMT003";"31";"";"1 104,78";"";"-34,59";"-34,59";"";"";"";"";"";"";"-";"";"-420,88";"-230,64";"-199,36";"-6,60";"212,71";"212,71";"642,71";"";"19,25";"92,23";"27 649";"3,13";"397";"7,81";"35,64"
"Tazza di birra in legno di quercia fatta a mano Tazza in acciaio inossidabile Naturale ed ecologico 0,6 litri 20 once Barrel Brown COG: 6,54 / Price: 30,8";"B01LNOBGRM";"3I-GOR9-I5Y7";"28";"3";"812,7";"";"-92,69";"-92,69";"";"";"";"";"";"10,71";"50";"-65,37";"-331,1";"-183,12";"-126,14";"-2,29";"11,99";"11,99";"308,25";"";"1,48";"6,55";"52 446";"11,41";"423";"6,62";"29,03"
"Northstar Docking Station in legno di frassino per smartphone, organizer da comodino con portachiavi, supporto per portafoglio e orologio, regalo per uomo papà marito, anniversario compleanno (Nero) COG: 6,12 / Price: 32,8";"B08YJLRHKX";"PP0004";"26";"2";"829,31";"";"-180,28";"-180,28";"";"";"";"";"";"7,69";"";"-49,64";"-332,98";"-159,12";"-137,46";"-4,19";"-39,36";"-39,36";"251,1";"";"-4,75";"-24,74";"22 800";"21,74";"735";"3,54";"31,90"
"Northstar 0.6 Tazza Vichinga Birra Viking Vichingo Boccale birra in legno vichingo Regalo Uomo Boccale vichingo Thor regalo san valentino per lui e lei regalo di compleanno regalo per la festa del papà COG: 7,59 / Price: 32,6";"B0CN1J44VC";"BM0010";"24";"1";"833,78";"";"-302,27";"-302,27";"";"";"";"";"";"4,17";"100";"-21,63";"-333,36";"-182,16";"-140,92";"-16,41";"-162,97";"-162,97";"151,22";"";"-19,55";"-89,47";"27 649";"36,25";"972";"2,47";"34,74"
"Boccale di birra fatto a mano in legno di rovere con acciaio inossidabile Ecologico naturale 0,6 litri (20 once) marrone retrò COG: 6,59 / Price: 30,8";"B01LYB4PKO";"69-YT0R-2WCS";"16";"";"482,78";"";"-38,15";"-38,15";"";"";"";"";"";"";"-";"";"-195,12";"-105,44";"-87,00";"";"52,07";"52,07";"244,51";"";"10,79";"49,38";"140 027";"7,90";"258";"6,20";"30,17"
"Tagliere in Legno 35 x 25 - Piatto da Bistecca - Tagliere per Servire Carne - Vassoio in Legno - Tagliere da Cucina - Accessori per Cucina Multiuso (L) COG: 4,73 / Price: 22,44";"B08YKGCV8F";"KB0002";"15";"";"394,32";"";"-7,5";"-7,5";"";"";"";"";"";"";"-";"";"-152,54";"-70,95";"-25,62";"";"137,71";"137,71";"234,28";"";"34,92";"194,09";"166 612";"1,90";"102";"14,71";"26,29"
